Date,Ozone_AQI_Value,Site Name,Site ID,Source
4/22/2016,48,London,39-097-0007,AQS
4/23/2016,37,Delaware,39-041-0002,AQS
4/24/2016,64,New Albany,39-049-0029,AQS
4/25/2016,77,Delaware,39-041-0002,AQS
4/26/2016,48,Heath,39-089-0005,AQS
4/27/2016,39,Delaware,39-041-0002,AQS
4/28/2016,31,Delaware,39-041-0002,AQS
4/29/2016,39,London,39-097-0007,AQS
4/30/2016,29,New Albany,39-049-0029,AQS
5/1/2016,47,London,39-097-0007,AQS
5/2/2016,31,Delaware,39-041-0002,AQS
5/3/2016,41,New Albany,39-049-0029,AQS
5/4/2016,42,Heath,39-089-0005,AQS
5/5/2016,42,New Albany,39-049-0029,AQS
5/6/2016,45,Delaware,39-041-0002,AQS
5/7/2016,44,New Albany,39-049-0029,AQS
5/8/2016,40,Delaware,39-041-0002,AQS
5/9/2016,35,Delaware,39-041-0002,AQS
5/10/2016,45,London,39-097-0007,AQS
5/11/2016,51,London,39-097-0007,AQS
5/12/2016,71,Delaware,39-041-0002,AQS
5/13/2016,36,New Albany,39-049-0029,AQS
5/14/2016,31,London,39-097-0007,AQS
5/15/2016,42,London,39-097-0007,AQS
5/16/2016,44,Delaware,39-041-0002,AQS
5/17/2016,43,Heath,39-089-0005,AQS
5/18/2016,46,Maple Canyon,39-049-0081,AQS
5/19/2016,51,London,39-097-0007,AQS
5/20/2016,46,Delaware,39-041-0002,AQS
5/21/2016,44,London,39-097-0007,AQS
5/22/2016,51,New Albany,39-049-0029,AQS
5/23/2016,74,London,39-097-0007,AQS
5/24/2016,100,Delaware,39-041-0002,AQS
5/25/2016,77,New Albany,39-049-0029,AQS
5/26/2016,47,New Albany,39-049-0029,AQS
5/27/2016,61,New Albany,39-049-0029,AQS
5/28/2016,49,Heath,39-089-0005,AQS
5/29/2016,48,New Albany,39-049-0029,AQS
5/30/2016,71,New Albany,39-049-0029,AQS
5/31/2016,97,New Albany,39-049-0029,AQS
6/1/2016,87,New Albany,39-049-0029,AQS
6/2/2016,90,New Albany,39-049-0029,AQS
6/3/2016,101,New Albany,39-049-0029,AQS
6/4/2016,50,New Albany,39-049-0029,AQS
6/5/2016,47,New Albany,39-049-0029,AQS
6/6/2016,64,New Albany,39-049-0029,AQS
6/7/2016,34,London,39-097-0007,AQS
6/8/2016,44,London,39-097-0007,AQS
6/9/2016,71,London,39-097-0007,AQS
6/10/2016,64,Heath,39-089-0005,AQS
6/11/2016,105,New Albany,39-049-0029,AQS
6/12/2016,51,New Albany,39-049-0029,AQS
6/13/2016,64,FRANKLIN_PK,39-049-0037,AQS
6/14/2016,97,Maple Canyon,39-049-0081,AQS
6/15/2016,71,New Albany,39-049-0029,AQS
6/16/2016,49,London,39-097-0007,AQS
6/17/2016,64,London,39-097-0007,AQS
6/18/2016,77,Maple Canyon,39-049-0081,AQS
6/19/2016,58,New Albany,39-049-0029,AQS
6/20/2016,74,New Albany,39-049-0029,AQS
6/21/2016,93,London,39-097-0007,AQS
6/22/2016,49,Heath,39-089-0005,AQS
6/23/2016,49,London,39-097-0007,AQS
6/24/2016,71,New Albany,39-049-0029,AQS
6/25/2016,126,New Albany,39-049-0029,AQS
6/26/2016,84,London,39-097-0007,AQS
