Date,Ozone_AQI_Value,Site Name,Site ID,Source
3/11/2016,19,GT Craig NCore,39-035-0060,AQS
3/12/2016,23,GT Craig NCore,39-035-0060,AQS
3/13/2016,33,GT Craig NCore,39-035-0060,AQS
3/14/2016,32,GT Craig NCore,39-035-0060,AQS
3/15/2016,19,GT Craig NCore,39-035-0060,AQS
3/16/2016,38,GT Craig NCore,39-035-0060,AQS
3/17/2016,34,GT Craig NCore,39-035-0060,AQS
3/18/2016,31,GT Craig NCore,39-035-0060,AQS
3/19/2016,36,GT Craig NCore,39-035-0060,AQS
3/20/2016,36,GT Craig NCore,39-035-0060,AQS
3/21/2016,31,GT Craig NCore,39-035-0060,AQS
3/22/2016,40,GT Craig NCore,39-035-0060,AQS
3/23/2016,35,GT Craig NCore,39-035-0060,AQS
3/24/2016,40,GT Craig NCore,39-035-0060,AQS
3/25/2016,35,GT Craig NCore,39-035-0060,AQS
3/26/2016,34,GT Craig NCore,39-035-0060,AQS
3/27/2016,44,GT Craig NCore,39-035-0060,AQS
3/28/2016,31,GT Craig NCore,39-035-0060,AQS
3/29/2016,36,GT Craig NCore,39-035-0060,AQS
3/30/2016,41,GT Craig NCore,39-035-0060,AQS
3/31/2016,39,GT Craig NCore,39-035-0060,AQS
4/1/2016,36,Notre Dame,39-055-0004,AQS
4/2/2016,39,Notre Dame,39-055-0004,AQS
4/3/2016,42,Chippewa,39-103-0004,AQS
4/4/2016,42,Notre Dame,39-055-0004,AQS
4/5/2016,41,Notre Dame,39-055-0004,AQS
4/6/2016,48,Notre Dame,39-055-0004,AQS
4/7/2016,39,Notre Dame,39-055-0004,AQS
4/8/2016,42,Eastlake,39-085-0003,AQS
4/9/2016,39,Notre Dame,39-055-0004,AQS
4/10/2016,38,Notre Dame,39-055-0004,AQS
4/11/2016,39,Notre Dame,39-055-0004,AQS
4/12/2016,38,Notre Dame,39-055-0004,AQS
4/13/2016,41,Notre Dame,39-055-0004,AQS
4/14/2016,46,Notre Dame,39-055-0004,AQS
4/15/2016,87,Notre Dame,39-055-0004,AQS
4/16/2016,100,Notre Dame,39-055-0004,AQS
4/17/2016,97,Notre Dame,39-055-0004,AQS
4/18/2016,122,Notre Dame,39-055-0004,AQS
4/19/2016,61,Notre Dame,39-055-0004,AQS
4/20/2016,74,Notre Dame,39-055-0004,AQS
4/21/2016,49,Notre Dame,39-055-0004,AQS
4/22/2016,45,Notre Dame,39-055-0004,AQS
4/23/2016,41,Notre Dame,39-055-0004,AQS
4/24/2016,48,Notre Dame,39-055-0004,AQS
4/25/2016,74,Notre Dame,39-055-0004,AQS
4/26/2016,44,Notre Dame,39-055-0004,AQS
4/27/2016,44,Notre Dame,39-055-0004,AQS
4/28/2016,41,Notre Dame,39-055-0004,AQS
4/29/2016,33,Painesville,39-085-0007,AQS
4/30/2016,40,Notre Dame,39-055-0004,AQS
5/1/2016,36,Notre Dame,39-055-0004,AQS
5/2/2016,32,Eastlake,39-085-0003,AQS
5/3/2016,44,Notre Dame,39-055-0004,AQS
5/4/2016,47,Notre Dame,39-055-0004,AQS
5/5/2016,41,Notre Dame,39-055-0004,AQS
5/6/2016,46,Notre Dame,39-055-0004,AQS
5/7/2016,64,Notre Dame,39-055-0004,AQS
5/8/2016,43,Notre Dame,39-055-0004,AQS
5/9/2016,44,Notre Dame,39-055-0004,AQS
5/10/2016,40,Notre Dame,39-055-0004,AQS
5/11/2016,54,Notre Dame,39-055-0004,AQS
5/12/2016,71,Notre Dame,39-055-0004,AQS
5/13/2016,40,Notre Dame,39-055-0004,AQS
5/14/2016,32,Notre Dame,39-055-0004,AQS
5/15/2016,37,Eastlake,39-085-0003,AQS
5/16/2016,44,Notre Dame,39-055-0004,AQS
5/17/2016,48,Notre Dame,39-055-0004,AQS
5/18/2016,48,Notre Dame,39-055-0004,AQS
5/19/2016,48,Notre Dame,39-055-0004,AQS
5/20/2016,77,Notre Dame,39-055-0004,AQS
5/21/2016,50,Painesville,39-085-0007,AQS
5/22/2016,49,Notre Dame,39-055-0004,AQS
5/23/2016,54,Berea BOE,39-035-0064,AQS
5/24/2016,140,Notre Dame,39-055-0004,AQS
5/25/2016,143,Eastlake,39-085-0003,AQS
5/26/2016,71,Notre Dame,39-055-0004,AQS
5/27/2016,71,Mayfield,39-035-5002,AQS
5/28/2016,77,Eastlake,39-085-0003,AQS
5/29/2016,48,Eastlake,39-085-0003,AQS
5/30/2016,74,Eastlake,39-085-0003,AQS
5/31/2016,74,Notre Dame,39-055-0004,AQS
6/1/2016,93,Mayfield,39-035-5002,AQS
6/2/2016,105,Notre Dame,39-055-0004,AQS
6/3/2016,100,Notre Dame,39-055-0004,AQS
6/4/2016,71,Mayfield,39-035-5002,AQS
6/5/2016,50,Eastlake,39-085-0003,AQS
6/6/2016,74,Eastlake,39-085-0003,AQS
6/7/2016,36,Notre Dame,39-055-0004,AQS
6/8/2016,44,Notre Dame,39-055-0004,AQS
6/9/2016,49,Notre Dame,39-055-0004,AQS
6/10/2016,112,Mayfield,39-035-5002,AQS
6/11/2016,133,Eastlake,39-085-0003,AQS
6/12/2016,47,Sheffield,39-093-0018,AQS
6/13/2016,37,Chippewa,39-103-0004,AQS
6/14/2016,44,Notre Dame,39-055-0004,AQS
6/15/2016,100,Notre Dame,39-055-0004,AQS
6/16/2016,64,Eastlake,39-085-0003,AQS
6/17/2016,61,Eastlake,39-085-0003,AQS
6/18/2016,54,Chippewa,39-103-0004,AQS
6/19/2016,105,Eastlake,39-085-0003,AQS
6/20/2016,90,Eastlake,39-085-0003,AQS
6/21/2016,74,Painesville,39-085-0007,AQS
6/22/2016,108,Notre Dame,39-055-0004,AQS
6/23/2016,44,Notre Dame,39-055-0004,AQS
6/24/2016,48,Notre Dame,39-055-0004,AQS
6/25/2016,87,Chippewa,39-103-0004,AQS
6/26/2016,90,Eastlake,39-085-0003,AQS
6/27/2016,58,Eastlake,39-085-0003,AQS
6/28/2016,36,Chippewa,39-103-0004,AQS
6/29/2016,36,Eastlake,39-085-0003,AQS
6/30/2016,84,Notre Dame,39-055-0004,AQS
7/1/2016,64,Notre Dame,39-055-0004,AQS
