Date,Nitrogen_Dioxide_AQI_Value,Site Name,Site ID,Source
7/30/2010,10,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
7/31/2010,7,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/1/2010,8,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/2/2010,10,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/3/2010,8,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/4/2010,4,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/5/2010,13,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/6/2010,18,Taft NCore,39-061-0040,AQS
8/7/2010,28,Taft NCore,39-061-0040,AQS
8/8/2010,25,Taft NCore,39-061-0040,AQS
8/9/2010,21,Taft NCore,39-061-0040,AQS
8/10/2010,35,Taft NCore,39-061-0040,AQS
8/11/2010,37,Taft NCore,39-061-0040,AQS
8/12/2010,23,Taft NCore,39-061-0040,AQS
8/13/2010,21,Taft NCore,39-061-0040,AQS
8/14/2010,10,Taft NCore,39-061-0040,AQS
8/15/2010,15,Taft NCore,39-061-0040,AQS
8/16/2010,23,Taft NCore,39-061-0040,AQS
8/17/2010,26,Taft NCore,39-061-0040,AQS
8/18/2010,27,Taft NCore,39-061-0040,AQS
8/19/2010,27,Taft NCore,39-061-0040,AQS
8/20/2010,27,Taft NCore,39-061-0040,AQS
8/21/2010,12,Taft NCore,39-061-0040,AQS
8/22/2010,13,Taft NCore,39-061-0040,AQS
8/23/2010,24,Taft NCore,39-061-0040,AQS
8/24/2010,18,Taft NCore,39-061-0040,AQS
8/25/2010,31,Taft NCore,39-061-0040,AQS
8/26/2010,23,Taft NCore,39-061-0040,AQS
8/27/2010,23,Taft NCore,39-061-0040,AQS
8/28/2010,23,Taft NCore,39-061-0040,AQS
8/29/2010,17,Taft NCore,39-061-0040,AQS
8/30/2010,29,Taft NCore,39-061-0040,AQS
8/31/2010,29,Taft NCore,39-061-0040,AQS
9/1/2010,35,Taft NCore,39-061-0040,AQS
9/2/2010,25,Taft NCore,39-061-0040,AQS
9/3/2010,19,Taft NCore,39-061-0040,AQS
9/4/2010,17,Taft NCore,39-061-0040,AQS
9/5/2010,42,Taft NCore,39-061-0040,AQS
9/6/2010,29,Taft NCore,39-061-0040,AQS
9/7/2010,25,Taft NCore,39-061-0040,AQS
9/8/2010,18,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
9/9/2010,31,Taft NCore,39-061-0040,AQS
9/10/2010,18,Taft NCore,39-061-0040,AQS
9/11/2010,15,Taft NCore,39-061-0040,AQS
9/12/2010,34,Taft NCore,39-061-0040,AQS
9/13/2010,24,Taft NCore,39-061-0040,AQS
9/14/2010,31,Taft NCore,39-061-0040,AQS
9/15/2010,31,Taft NCore,39-061-0040,AQS
9/16/2010,20,Taft NCore,39-061-0040,AQS
9/17/2010,21,Taft NCore,39-061-0040,AQS
9/18/2010,42,Taft NCore,39-061-0040,AQS
9/19/2010,35,Taft NCore,39-061-0040,AQS
9/20/2010,19,Taft NCore,39-061-0040,AQS
9/21/2010,25,Taft NCore,39-061-0040,AQS
9/22/2010,25,Taft NCore,39-061-0040,AQS
9/23/2010,31,Taft NCore,39-061-0040,AQS
9/24/2010,15,Taft NCore,39-061-0040,AQS
9/25/2010,8,Taft NCore,39-061-0040,AQS
9/26/2010,8,Taft NCore,39-061-0040,AQS
9/27/2010,14,Taft NCore,39-061-0040,AQS
9/28/2010,30,Taft NCore,39-061-0040,AQS
9/29/2010,38,Taft NCore,39-061-0040,AQS
9/30/2010,36,Taft NCore,39-061-0040,AQS
10/1/2010,34,Taft NCore,39-061-0040,AQS
10/2/2010,29,Taft NCore,39-061-0040,AQS
10/3/2010,10,Taft NCore,39-061-0040,AQS
10/4/2010,22,Taft NCore,39-061-0040,AQS
10/5/2010,20,Taft NCore,39-061-0040,AQS
10/6/2010,24,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
10/7/2010,25,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
10/8/2010,45,Taft NCore,39-061-0040,AQS
10/9/2010,42,Taft NCore,39-061-0040,AQS
10/10/2010,42,Taft NCore,39-061-0040,AQS
10/11/2010,41,Taft NCore,39-061-0040,AQS
10/12/2010,51,Taft NCore,39-061-0040,AQS
10/13/2010,21,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
10/14/2010,35,Taft NCore,39-061-0040,AQS
10/15/2010,31,Taft NCore,39-061-0040,AQS
10/16/2010,32,Taft NCore,39-061-0040,AQS
10/17/2010,26,Taft NCore,39-061-0040,AQS
10/18/2010,27,Taft NCore,39-061-0040,AQS
10/19/2010,36,Taft NCore,39-061-0040,AQS
10/20/2010,32,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
10/21/2010,25,Taft NCore,39-061-0040,AQS
10/22/2010,38,Taft NCore,39-061-0040,AQS
10/23/2010,32,Taft NCore,39-061-0040,AQS
10/24/2010,12,Taft NCore,39-061-0040,AQS
10/25/2010,16,Taft NCore,39-061-0040,AQS
10/26/2010,12,Taft NCore,39-061-0040,AQS
10/27/2010,22,Taft NCore,39-061-0040,AQS
10/28/2010,11,Taft NCore,39-061-0040,AQS
10/29/2010,31,Taft NCore,39-061-0040,AQS
10/30/2010,25,Taft NCore,39-061-0040,AQS
10/31/2010,16,Taft NCore,39-061-0040,AQS
11/1/2010,22,Taft NCore,39-061-0040,AQS
11/2/2010,22,Taft NCore,39-061-0040,AQS
11/3/2010,25,Taft NCore,39-061-0040,AQS
11/4/2010,24,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
11/5/2010,13,Taft NCore,39-061-0040,AQS
11/6/2010,31,Taft NCore,39-061-0040,AQS
11/7/2010,28,Taft NCore,39-061-0040,AQS
11/8/2010,47,Taft NCore,39-061-0040,AQS
11/9/2010,67,Taft NCore,39-061-0040,AQS
11/10/2010,54,Taft NCore,39-061-0040,AQS
11/11/2010,55,Taft NCore,39-061-0040,AQS
11/12/2010,48,Taft NCore,39-061-0040,AQS
11/13/2010,36,Taft NCore,39-061-0040,AQS
11/14/2010,33,Taft NCore,39-061-0040,AQS
11/15/2010,32,Taft NCore,39-061-0040,AQS
11/16/2010,21,Taft NCore,39-061-0040,AQS
11/17/2010,29,Taft NCore,39-061-0040,AQS
11/18/2010,29,Taft NCore,39-061-0040,AQS
11/19/2010,25,Taft NCore,39-061-0040,AQS
11/20/2010,32,Taft NCore,39-061-0040,AQS
11/21/2010,24,Taft NCore,39-061-0040,AQS
11/22/2010,16,Taft NCore,39-061-0040,AQS
11/23/2010,18,Taft NCore,39-061-0040,AQS
11/24/2010,15,Taft NCore,39-061-0040,AQS
11/25/2010,23,Taft NCore,39-061-0040,AQS
11/26/2010,11,Taft NCore,39-061-0040,AQS
11/27/2010,27,Taft NCore,39-061-0040,AQS
11/28/2010,29,Taft NCore,39-061-0040,AQS
11/29/2010,24,Taft NCore,39-061-0040,AQS
11/30/2010,16,Taft NCore,39-061-0040,AQS
12/1/2010,11,Taft NCore,39-061-0040,AQS
12/2/2010,18,Taft NCore,39-061-0040,AQS
12/3/2010,25,Taft NCore,39-061-0040,AQS
12/4/2010,19,Taft NCore,39-061-0040,AQS
12/5/2010,8,Taft NCore,39-061-0040,AQS
12/6/2010,14,Taft NCore,39-061-0040,AQS
12/7/2010,18,Taft NCore,39-061-0040,AQS
12/8/2010,27,Taft NCore,39-061-0040,AQS
12/9/2010,45,Taft NCore,39-061-0040,AQS
12/10/2010,27,Taft NCore,39-061-0040,AQS
12/11/2010,28,Taft NCore,39-061-0040,AQS
12/12/2010,12,Taft NCore,39-061-0040,AQS
12/13/2010,13,Taft NCore,39-061-0040,AQS
12/14/2010,25,Taft NCore,39-061-0040,AQS
12/15/2010,31,Taft NCore,39-061-0040,AQS
12/16/2010,28,Taft NCore,39-061-0040,AQS
12/17/2010,25,Taft NCore,39-061-0040,AQS
12/18/2010,25,Taft NCore,39-061-0040,AQS
12/19/2010,28,Taft NCore,39-061-0040,AQS
12/20/2010,27,Taft NCore,39-061-0040,AQS
12/21/2010,24,Taft NCore,39-061-0040,AQS
12/22/2010,24,Taft NCore,39-061-0040,AQS
12/23/2010,21,Taft NCore,39-061-0040,AQS
12/24/2010,17,Taft NCore,39-061-0040,AQS
12/25/2010,19,Taft NCore,39-061-0040,AQS
12/26/2010,13,Taft NCore,39-061-0040,AQS
12/27/2010,20,Taft NCore,39-061-0040,AQS
12/28/2010,31,Taft NCore,39-061-0040,AQS
12/29/2010,27,Taft NCore,39-061-0040,AQS
12/30/2010,26,Taft NCore,39-061-0040,AQS
12/31/2010,12,Taft NCore,39-061-0040,AQS
1/1/2011,14,Taft NCore,39-061-0040,AQS
1/2/2011,25,Taft NCore,39-061-0040,AQS
1/3/2011,25,Taft NCore,39-061-0040,AQS
1/4/2011,22,Taft NCore,39-061-0040,AQS
1/5/2011,35,Taft NCore,39-061-0040,AQS
1/6/2011,31,Taft NCore,39-061-0040,AQS
1/7/2011,25,Taft NCore,39-061-0040,AQS
1/8/2011,15,Taft NCore,39-061-0040,AQS
1/9/2011,25,Taft NCore,39-061-0040,AQS
1/10/2011,19,Taft NCore,39-061-0040,AQS
1/11/2011,17,Taft NCore,39-061-0040,AQS
1/12/2011,16,Taft NCore,39-061-0040,AQS
1/13/2011,25,Taft NCore,39-061-0040,AQS
1/14/2011,30,Taft NCore,39-061-0040,AQS
1/15/2011,20,Taft NCore,39-061-0040,AQS
1/16/2011,19,Taft NCore,39-061-0040,AQS
1/17/2011,28,Taft NCore,39-061-0040,AQS
1/18/2011,25,Taft NCore,39-061-0040,AQS
1/19/2011,16,Taft NCore,39-061-0040,AQS
1/20/2011,24,Taft NCore,39-061-0040,AQS
1/21/2011,30,Taft NCore,39-061-0040,AQS
1/22/2011,32,Taft NCore,39-061-0040,AQS
1/23/2011,18,Taft NCore,39-061-0040,AQS
1/24/2011,35,Taft NCore,39-061-0040,AQS
1/25/2011,37,Taft NCore,39-061-0040,AQS
1/26/2011,28,Taft NCore,39-061-0040,AQS
1/27/2011,21,Taft NCore,39-061-0040,AQS
1/28/2011,28,Taft NCore,39-061-0040,AQS
1/29/2011,19,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
1/30/2011,22,Taft NCore,39-061-0040,AQS
1/31/2011,16,Taft NCore,39-061-0040,AQS
2/1/2011,25,Taft NCore,39-061-0040,AQS
