OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
1701,63,177,20,56,14,8.856933900010002
1702,41,141,13,47,9,6.20833823178
1703,56,142,19,48,17,8.499894694790001
1704,92,202,28,61,35,12.1784984371
1705,65,168,20,53,17,9.03156956927
1706,78,197,22,56,31,9.750588473750001
1707,59,161,20,55,22,8.934332144369998
1708,89,256,20,59,34,9.03734116267
1709,87,215,26,65,22,11.443818204500001
1710,103,321,20,63,55,8.93379441794
1711,44,194,12,56,16,5.65688782749
1712,117,380,16,54,49,7.4368548702399995
1713,75,261,16,58,31,7.367749112710001
1714,154,616,11,45,55,5.053466902649999
1715,109,400,16,60,36,7.2545808548899995
1716,214,420,29,58,87,12.8695746749
1717,251,614,27,66,79,11.784145991699999
1777,246,373,48,73,119,19.550195982199998
1778,351,507,53,77,219,21.5847218809
1779,161,400,18,45,93,8.01367539121
1780,213,509,18,43,37,8.00909803742
1781,72,162,25,57,15,10.9175718978
1782,48,131,18,49,11,7.99534262458
1796,444,1022,26,61,321,11.4932136372
1797,1088,3308,18,55,245,7.968006216830001
1798,429,1142,29,79,128,12.757580076899998
1799,352,814,30,70,132,13.0078215103
1800,108,211,30,60,59,13.1785748441
1801,134,289,26,56,45,11.294522091700001
1802,243,754,20,63,90,8.87959600739
1803,456,865,36,69,98,15.3526369319
1804,38,110,12,34,41,5.41639501005
1805,280,605,27,59,91,11.9037038212
1806,304,756,22,56,107,9.90423175125
1807,215,495,29,67,103,12.632232930799999
1808,163,359,27,60,55,11.85233582
1809,177,353,27,53,119,11.6755990292
1810,932,1388,54,81,614,22.3694050376
1811,165,377,26,60,77,11.5179860069
1812,1296,1696,67,88,760,26.7837499044
1813,288,496,36,63,189,15.5536468495
1814,239,562,24,56,174,10.552212783600002
1815,194,605,23,71,87,10.034036583399999
1816,177,614,15,52,140,6.72410711534
1817,132,616,9,43,133,4.18400697666
1832,863,1302,54,81,723,22.285097750200002
1833,1535,2032,64,85,740,26.062902522300003
1834,1446,2089,60,86,1540,24.412905552900003
1835,1710,2737,47,76,918,19.9374919008
1836,1225,2163,47,84,1675,19.9214117954
1837,740,1055,55,79,236,22.8328286655
1838,916,1483,51,84,281,20.2357029187
1839,89,210,25,60,39,10.422792027000002
1840,796,1313,50,82,544,19.5635530653
1841,359,710,38,77,165,15.493760910099999
1842,1737,3299,43,81,463,17.092866499899998
1843,490,1127,35,80,655,14.077926785299999
1844,1015,1675,51,85,693,20.273001852000004
1845,1366,2020,56,84,729,23.2212408264
1846,555,932,48,81,460,20.1645132104
1847,814,1370,47,80,344,19.807466938999998
1848,1769,3154,41,74,736,17.4988470247
1872,492,606,65,81,174,25.923452429999998
1873,89,153,32,55,19,13.700627638499999
1874,109,182,35,58,93,14.714597288799999
1875,131,207,40,64,60,16.9052321082
1876,198,334,39,66,83,16.4989200532
1877,107,196,31,57,37,13.304710233200002
1878,105,172,35,57,30,14.852111875099999
1879,208,287,45,62,103,18.6817952225
1880,206,321,41,65,59,17.2746569428
1881,175,260,45,67,69,18.8227450022
1882,136,206,40,61,74,16.7650027486
1883,275,390,45,64,56,18.7329165186
1884,104,167,32,52,27,13.7203913314
1885,279,378,48,65,100,19.731637371399998
1886,142,236,37,62,35,15.8291823365
1887,84,135,34,54,31,14.4010090906
1888,157,241,38,58,47,15.987225754799999
1889,75,166,22,48,28,9.60839793908
1890,310,596,40,77,121,16.7378241796
1891,55,122,25,55,13,10.8132513215
