Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
6/2/2019,53,PM2.5,GT Craig NCore,39-035-0060,AQS
6/3/2019,32,Ozone,Eastlake,39-085-0003,AQS
6/4/2019,61,Ozone,Painesville,39-085-0007,AQS
6/5/2019,66,PM2.5,GT Craig NCore,39-035-0060,AQS
6/6/2019,59,PM2.5,GT Craig NCore,39-035-0060,AQS
6/7/2019,63,PM2.5,GT Craig NCore,39-035-0060,AQS
6/8/2019,48,PM2.5,Harvard Yards,39-035-0065,AQS
6/9/2019,44,Ozone,District 6,39-035-0034,AQS
6/10/2019,33,PM2.5,GT Craig NCore,39-035-0060,AQS
6/11/2019,48,Ozone,Eastlake,39-085-0003,AQS
6/12/2019,54,PM2.5,GT Craig NCore,39-035-0060,AQS
6/13/2019,44,PM2.5,GT Craig NCore,39-035-0060,AQS
6/14/2019,42,Ozone,Berea BOE,39-035-0064,AQS
6/15/2019,44,PM2.5,GT Craig NCore,39-035-0060,AQS
6/16/2019,36,PM2.5,GT Craig NCore,39-035-0060,AQS
6/17/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
6/18/2019,50,Ozone,Berea BOE,39-035-0064,AQS
6/19/2019,74,Ozone,Mayfield,39-035-5002,AQS
6/20/2019,55,PM2.5,GT Craig NCore,39-035-0060,AQS
6/21/2019,44,Ozone,Eastlake,39-085-0003,AQS
6/22/2019,32,Ozone,Notre Dame,39-055-0004,AQS
6/23/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
6/24/2019,42,Ozone,Painesville,39-085-0007,AQS
6/25/2019,64,Ozone,Notre Dame,39-055-0004,AQS
6/26/2019,84,Ozone,District 6,39-035-0034,AQS
6/27/2019,105,Ozone,Berea BOE,39-035-0064,AQS
6/28/2019,115,Ozone,Eastlake,39-085-0003,AQS
6/29/2019,101,Ozone,Eastlake,39-085-0003,AQS
6/30/2019,40,PM2.5,Cleveland Near Road,39-035-0073,AQS
7/1/2019,61,Ozone,Mayfield,39-035-5002,AQS
7/2/2019,90,Ozone,Eastlake,39-085-0003,AQS
7/3/2019,74,Ozone,Eastlake,39-085-0003,AQS
7/4/2019,85,PM2.5,GT Craig NCore,39-035-0060,AQS
7/5/2019,63,PM2.5,GT Craig NCore,39-035-0060,AQS
7/6/2019,77,Ozone,Eastlake,39-085-0003,AQS
7/7/2019,50,PM2.5,Chippewa,39-103-0004,AQS
7/8/2019,40,PM2.5,Painesville,39-085-0007,AQS
7/9/2019,54,Ozone,Mayfield,39-035-5002,AQS
7/10/2019,119,Ozone,Notre Dame,39-055-0004,AQS
7/11/2019,77,Ozone,Mayfield,39-035-5002,AQS
7/12/2019,43,Ozone,Notre Dame,39-055-0004,AQS
7/13/2019,105,Ozone,Mayfield,39-035-5002,AQS
7/14/2019,43,PM2.5,Harvard Yards,39-035-0065,AQS
7/15/2019,93,Ozone,Notre Dame,39-055-0004,AQS
7/16/2019,37,PM2.5,Painesville,39-085-0007,AQS
7/17/2019,43,PM2.5,Harvard Yards,39-035-0065,AQS
7/18/2019,64,Ozone,Notre Dame,39-055-0004,AQS
