Date_left, AQI_Value_left,Main_Pollutant_left,Site_Name_left,Site_ID_left,Source_left,AQI_Value_left,Date_right, AQI_Value_right,Main_Pollutant_right,Site_Name_right,Site_ID_right,Source_right,AQI_Value_right
2019-07-04,85,PM2.5,GT Craig NCore,39-035-0060,AQS,85.0,2019-07-04,78.0,PM2.5,Taft NCore,39-061-0040,AQS,78.0
2019-07-05,63,PM2.5,GT Craig NCore,39-035-0060,AQS,63.0,2019-07-05,85.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,85.0
2019-07-07,50,PM2.5,Chippewa,39-103-0004,AQS,50.0,2019-07-07,51.0,PM2.5,Taft NCore,39-061-0040,AQS,51.0
2019-07-08,40,PM2.5,Painesville,39-085-0007,AQS,40.0,2019-07-08,58.0,PM2.5,Carthage,39-061-0014,AQS,58.0
2019-07-14,43,PM2.5,Harvard Yards,39-035-0065,AQS,43.0,,,,,,,
2019-07-16,37,PM2.5,Painesville,39-085-0007,AQS,37.0,2019-07-16,33.0,PM2.5,Carthage,39-061-0014,AQS,33.0
2019-07-17,43,PM2.5,Harvard Yards,39-035-0065,AQS,43.0,,,,,,,
2019-07-19,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,2019-07-19,64.0,PM2.5,Taft NCore,39-061-0040,AQS,64.0
2019-07-20,54,PM2.5,Harvard Yards,39-035-0065,AQS,54.0,2019-07-20,59.0,PM2.5,Ohio Bell,39-017-0015,AQS,59.0
2019-07-29,64,PM2.5,Harvard Yards,39-035-0065,AQS,64.0,2019-07-29,65.0,PM2.5,Yankee,39-017-0020,AQS,65.0
2019-08-02,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,,,,,,,
2019-08-03,56,PM2.5,GT Craig NCore,39-035-0060,AQS,56.0,,,,,,,
2019-08-06,48,PM2.5,GT Craig NCore,39-035-0060,AQS,48.0,,,,,,,
2019-08-10,52,PM2.5,Harvard Yards,39-035-0065,AQS,52.0,,,,,,,
2019-08-11,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,,,,,,,
2019-08-12,53,PM2.5,GT Craig NCore,39-035-0060,AQS,53.0,,,,,,,
2019-08-13,60,PM2.5,Harvard Yards,39-035-0065,AQS,60.0,,,,,,,
2019-08-15,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,,,,,,,
2019-08-16,54,PM2.5,Harvard Yards,39-035-0065,AQS,54.0,,,,,,,
2019-08-17,54,PM2.5,GT Craig NCore,39-035-0060,AQS,54.0,,,,,,,
2019-08-25,45,PM2.5,Harvard Yards,39-035-0065,AQS,45.0,2019-08-25,41.0,PM2.5,Yankee,39-017-0020,AQS,41.0
2019-08-27,28,PM2.5,GT Craig NCore,39-035-0060,AQS,28.0,2019-08-27,33.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,33.0
2019-09-01,44,PM2.5,GT Craig NCore,39-035-0060,AQS,44.0,2019-09-01,56.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,56.0
2019-09-03,51,PM2.5,Harvard Yards,39-035-0065,AQS,51.0,2019-09-03,56.0,PM2.5,Yankee,39-017-0020,AQS,56.0
2019-09-06,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-09-06,54.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,54.0
2019-09-07,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-09-07,37.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,37.0
2019-09-15,62,PM2.5,Harvard Yards,39-035-0065,AQS,62.0,2019-09-15,50.0,PM2.5,Yankee,39-017-0020,AQS,50.0
2019-09-22,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-09-22,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-09-27,51,PM2.5,Harvard Yards,39-035-0065,AQS,51.0,,,,,,,
2019-09-30,53,PM2.5,Harvard Yards,39-035-0065,AQS,53.0,,,,,,,
2019-10-01,53,PM2.5,Cleveland Near Road,39-035-0073,AQS,53.0,,,,,,,
2019-10-02,40,PM2.5,Cleveland Near Road,39-035-0073,AQS,40.0,,,,,,,
2019-10-03,43,PM2.5,GT Craig NCore,39-035-0060,AQS,43.0,,,,,,,
2019-10-06,45,PM2.5,Harvard Yards,39-035-0065,AQS,45.0,2019-10-06,63.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,63.0
2019-10-07,32,PM2.5,Cleveland Near Road,39-035-0073,AQS,32.0,2019-10-07,49.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,49.0
2019-10-08,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,2019-10-08,51.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,51.0
2019-10-09,54,PM2.5,Harvard Yards,39-035-0065,AQS,54.0,2019-10-09,47.0,PM2.5,Yankee,39-017-0020,AQS,47.0
2019-10-15,58,PM2.5,Harvard Yards,39-035-0065,AQS,58.0,2019-10-15,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-10-20,51,PM2.5,Barr School,39-093-3002,AQS,51.0,,,,,,,
2019-10-21,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,,,,,,,
2019-10-23,39,PM2.5,GT Craig NCore,39-035-0060,AQS,39.0,,,,,,,
2019-10-24,49,PM2.5,Harvard Yards,39-035-0065,AQS,49.0,,,,,,,
2019-10-25,70,PM2.5,GT Craig NCore,39-035-0060,AQS,70.0,,,,,,,
2019-10-26,65,PM2.5,GT Craig NCore,39-035-0060,AQS,65.0,2019-10-26,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-10-27,42,PM2.5,St Theodosius,39-035-0038,AQS,42.0,,,,,,,
2019-10-28,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,2019-10-28,58.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,58.0
2019-10-29,52,PM2.5,Cleveland Near Road,39-035-0073,AQS,52.0,2019-10-29,60.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,60.0
2019-10-30,58,PM2.5,GT Craig NCore,39-035-0060,AQS,58.0,2019-10-30,61.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,61.0
2019-10-31,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,,,,,,,
2019-11-01,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,,,,,,,
2019-11-02,63,PM2.5,GT Craig NCore,39-035-0060,AQS,63.0,,,,,,,
2019-11-03,43,PM2.5,GT Craig NCore,39-035-0060,AQS,43.0,,,,,,,
2019-11-04,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,,,,,,,
2019-11-05,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,,,,,,,
2019-11-06,46,PM2.5,Cleveland Near Road,39-035-0073,AQS,46.0,2019-11-06,58.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,58.0
2019-11-07,36,PM2.5,Cleveland Near Road,39-035-0073,AQS,36.0,2019-11-07,43.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,43.0
2019-11-09,42,PM2.5,Chippewa,39-103-0004,AQS,42.0,2019-11-09,54.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,54.0
2019-11-10,56,PM2.5,Cleveland Near Road,39-035-0073,AQS,56.0,2019-11-10,47.0,PM2.5,Taft NCore,39-061-0040,AQS,47.0
2019-11-11,41,PM2.5,Chippewa,39-103-0004,AQS,41.0,2019-11-11,53.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,53.0
2019-11-13,30,PM2.5,Chippewa,39-103-0004,AQS,30.0,2019-11-13,55.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,55.0
2019-11-14,55,PM2.5,Cleveland Near Road,39-035-0073,AQS,55.0,2019-11-14,57.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,57.0
2019-11-15,79,PM2.5,Cleveland Near Road,39-035-0073,AQS,79.0,2019-11-15,78.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,78.0
2019-11-16,33,PM2.5,Chippewa,39-103-0004,AQS,33.0,2019-11-16,72.0,PM2.5,Carthage,39-061-0014,AQS,72.0
2019-11-17,55,PM2.5,Harvard Yards,39-035-0065,AQS,55.0,2019-11-17,69.0,PM2.5,Carthage,39-061-0014,AQS,69.0
2019-11-18,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-11-18,91.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,91.0
2019-11-19,108,PM2.5,Cleveland Near Road,39-035-0073,AQS,108.0,2019-11-19,59.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,59.0
2019-11-20,67,PM2.5,Barr School,39-093-3002,AQS,67.0,2019-11-20,63.0,PM2.5,Yankee,39-017-0020,AQS,63.0
2019-11-21,58,PM2.5,GT Craig NCore,39-035-0060,AQS,58.0,2019-11-21,50.0,PM2.5,Carthage,39-061-0014,AQS,50.0
2019-11-22,26,PM2.5,Cleveland Near Road,39-035-0073,AQS,26.0,2019-11-22,34.0,PM2.5,Carthage,39-061-0014,AQS,34.0
2019-11-23,51,PM2.5,Cleveland Near Road,39-035-0073,AQS,51.0,2019-11-23,48.0,PM2.5,Yankee,39-017-0020,AQS,48.0
2019-11-24,60,PM2.5,Cleveland Near Road,39-035-0073,AQS,60.0,2019-11-24,49.0,PM2.5,Carthage,39-061-0014,AQS,49.0
2019-11-25,54,PM2.5,Cleveland Near Road,39-035-0073,AQS,54.0,2019-11-25,43.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,43.0
2019-11-26,60,PM2.5,Harvard Yards,39-035-0065,AQS,60.0,2019-11-26,57.0,PM2.5,BPG,39-017-0022,AQS,57.0
2019-11-27,43,PM2.5,Chippewa,39-103-0004,AQS,43.0,,,,,,,
2019-11-30,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,2019-11-30,30.0,PM2.5,Carthage,39-061-0014,AQS,30.0
2019-12-02,30,PM2.5,Cleveland Near Road,39-035-0073,AQS,30.0,2019-12-02,29.0,PM2.5,Taft NCore,39-061-0040,AQS,29.0
2019-12-03,43,PM2.5,Cleveland Near Road,39-035-0073,AQS,43.0,2019-12-03,36.0,PM2.5,Carthage,39-061-0014,AQS,36.0
2019-12-04,59,PM2.5,Cleveland Near Road,39-035-0073,AQS,59.0,,,,,,,
2019-12-05,45,PM2.5,Harvard Yards,39-035-0065,AQS,45.0,2019-12-05,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-12-06,38,PM2.5,Cleveland Near Road,39-035-0073,AQS,38.0,2019-12-06,57.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,57.0
2019-12-07,31,PM2.5,Cleveland Near Road,39-035-0073,AQS,31.0,2019-12-07,56.0,PM2.5,Carthage,39-061-0014,AQS,56.0
2019-12-08,60,PM2.5,Harvard Yards,39-035-0065,AQS,60.0,2019-12-08,54.0,PM2.5,Ohio Bell,39-017-0015,AQS,54.0
2019-12-09,29,PM2.5,Cleveland Near Road,39-035-0073,AQS,29.0,2019-12-09,41.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,41.0
2019-12-10,52,PM2.5,Cleveland Near Road,39-035-0073,AQS,52.0,2019-12-10,33.0,PM2.5,Sycamore,39-061-0006,AQS,33.0
2019-12-11,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,2019-12-11,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-12-12,62,PM2.5,Cleveland Near Road,39-035-0073,AQS,62.0,2019-12-12,57.0,PM2.5,Carthage,39-061-0014,AQS,57.0
2019-12-14,72,PM2.5,Barr School,39-093-3002,AQS,72.0,2019-12-14,54.0,PM2.5,Yankee,39-017-0020,AQS,54.0
2019-12-15,56,PM2.5,Cleveland Near Road,39-035-0073,AQS,56.0,2019-12-15,60.0,PM2.5,Carthage,39-061-0014,AQS,60.0
2019-12-16,74,PM2.5,Cleveland Near Road,39-035-0073,AQS,74.0,2019-12-16,60.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,60.0
