Crematoria,Crematoria2,Direct Cremations 2019,1 Jan-31 Dec 2019,1 Jan-31 Dec 2020,Buffer,Crematoria Point 1,Crematoria Point 2,Direct Cremations 2020,Distance,Distance Label,January 2020 Basic Cremation Fee in pounds,January 2021 Basic Cremation Fee in pounds,Latitude,Latitude2,Longtitude,Longtitude2,Total Crematorium Charges in pounds,Total for County 2020,Total Since Opening
Crewe,Purbeck,29,1115,1311,Polygon,Point,Point,75,LineString,263.442387643,750,750,53.102436950,50.747475296,-2.442607815,-2.046002489,780,,65026
Lach Dennis (Birches),Poole,0,0,138,Polygon,Point,Point,1,LineString,278.401549989,,875,53.252707406,50.767774440,-2.450892802,-1.976626623,875,,138
Macclesfield,Plymouth (Weston Mill),50,1760,2005,Polygon,Point,Point,140,LineString,348.528443161,750,750,53.267630221,50.398464762,-2.141082884,-4.171322703,780,,78549
Northwich,Plymouth (Efford),8,1134,1349,Polygon,Point,Point,143,LineString,336.421551101,875,875,53.244925316,50.392143338,-2.493101696,-4.110916345,875,,7100
Warrington,Peterborough,37,1998,2227,Polygon,Point,Point,72,LineString,176.698413252,786,810,53.364436730,52.605844116,-2.602400778,-0.290899744,839,,94934
Widnes,Northwich,256,913,1208,Polygon,Point,Point,465,LineString,21.975855334,745,765,53.380608972,53.244925316,-2.732648242,-2.493101696,765,10179,35402
Hartlepool,Mountsett,0,970,1048,Polygon,Point,Point,14,LineString,41.556386238,761,761,54.668950213,54.888906910,-1.223888215,-1.745710544,938,,55125
Kirkleatham,Milton Keynes,356,1469,1956,Polygon,Point,Point,517,LineString,284.780383637,875,890,54.586455793,52.032693631,-1.075161500,-0.805557078,945,,8867
Middlesbrough,Luton,N/R,2799,2241,Polygon,Point,Point,0,LineString,298.131496797,772,790,54.540611061,51.911291458,-1.244878079,-0.389880066,940,5245,191367
Bodmin,March (Fenland),287,1828,2224,Polygon,Point,Point,164,LineString,402.702943718,999,999,50.460411116,52.533986828,-4.688131047,0.067190658,999,,39585
Camborne,Macclesfield,21,1317,1426,Polygon,Point,Point,158,LineString,403.356555286,890,890,50.224549037,53.267630221,-5.317658168,-2.141082884,940,,12363
